topic,2011,2012,2013,2014,2015,2016
0,1,9,6,7,4,3
1,1,4,3,6,5,1
2,0,4,3,7,1,0
3,3,9,3,4,8,1
4,1,6,9,10,4,2
5,0,4,4,5,2,2
6,0,4,4,6,8,0
7,2,12,11,10,12,2
8,0,4,1,7,2,1
9,1,8,11,16,12,0
10,2,1,5,1,3,0
11,1,3,6,4,6,0
12,0,2,5,5,5,1
13,1,14,13,7,8,1
14,1,3,3,1,4,1
15,0,4,5,2,2,2
16,1,5,2,9,3,0
17,5,13,9,5,3,4
18,0,8,3,4,2,0
19,1,9,12,7,6,1
20,1,3,3,4,3,0
21,2,7,7,2,2,2
22,2,7,9,9,6,1
23,0,2,3,4,3,0
24,1,3,5,3,5,0
25,1,11,9,9,2,1
26,1,5,8,8,6,3
27,0,3,9,1,4,0
28,0,3,2,3,4,1
29,0,1,3,4,2,1
30,1,13,16,14,5,1
31,0,5,7,2,5,2
32,1,5,7,9,1,0
33,1,2,1,6,8,1
34,1,2,5,3,0,2
35,1,2,9,2,3,1
36,1,5,7,4,3,0
37,4,26,38,19,17,2
38,1,1,5,7,3,0
39,0,9,3,5,7,2
40,1,7,3,6,3,0
41,0,6,5,3,0,0
42,1,6,8,7,3,1
43,1,13,12,4,3,3
44,1,4,4,3,6,2
45,1,3,5,0,4,0
46,1,4,6,3,6,1
47,2,4,2,4,2,1
48,2,13,8,3,1,1
49,0,9,9,4,2,1
50,0,5,3,6,1,1
51,0,1,4,2,1,0
52,0,2,5,6,7,0
53,2,8,5,5,4,0
54,3,6,8,8,4,2
55,1,8,7,5,2,0
56,3,4,2,8,0,0
57,4,4,6,3,1,2
58,0,7,3,3,2,0
59,1,1,1,2,2,0
60,1,3,6,7,5,1
61,0,5,7,9,4,2
62,0,10,9,2,3,1
63,1,4,8,5,3,1
64,1,9,11,7,2,0
65,0,4,11,4,5,1
66,1,6,7,4,9,0
67,0,4,5,6,3,0
68,0,4,4,3,6,0
69,1,19,24,9,8,1
70,1,7,10,7,3,0
