monthOut,yearOut,Java,Python,PHP,JavaScript,Perl,Ruby
1,2006,153,10,58,47,51,1
2,2006,139,9,42,48,58,6
3,2006,162,13,74,61,46,3
4,2006,128,4,21,25,56,2
5,2006,128,16,73,46,62,4
6,2006,207,14,77,36,59,10
7,2006,157,18,86,47,94,8
8,2006,159,20,91,38,93,13
9,2006,166,10,107,59,72,6
10,2006,156,13,109,59,112,7
11,2006,106,8,77,43,49,6
12,2006,100,4,66,41,50,5
1,2007,77,4,54,29,25,3
2,2007,105,5,66,37,69,5
3,2007,144,5,89,53,51,0
4,2007,134,4,106,54,48,9
5,2007,100,12,72,48,41,15
6,2007,122,5,79,35,29,2
7,2007,120,14,121,40,56,14
8,2007,134,13,109,59,53,9
9,2007,121,8,74,27,40,22
10,2007,95,5,70,40,46,34
11,2007,126,13,63,34,50,29
12,2007,120,19,82,53,59,43
1,2008,147,2,99,51,50,44
2,2008,155,19,93,49,41,34
3,2008,106,15,70,44,35,22
4,2008,117,14,122,44,22,19
5,2008,124,16,119,48,43,24
6,2008,90,18,89,45,36,24
7,2008,121,56,90,51,64,11
8,2008,122,32,73,42,55,20
9,2008,122,34,81,50,48,20
10,2008,130,26,79,52,37,21
11,2008,93,24,67,23,28,22
12,2008,113,42,107,49,43,28
1,2009,156,58,135,79,32,36
2,2009,201,49,131,88,27,32
3,2009,147,58,139,84,38,20
4,2009,178,61,139,97,46,22
5,2009,148,42,150,92,20,21
6,2009,152,82,130,80,20,37
7,2009,157,91,134,87,17,34
8,2009,111,86,119,45,37,24
9,2009,97,57,96,62,18,21
10,2009,163,89,135,98,27,23
11,2009,145,75,109,100,23,27
12,2009,134,53,105,86,28,9
1,2010,157,56,131,100,23,27
2,2010,124,55,85,77,24,41
3,2010,152,78,141,101,30,16
4,2010,117,63,124,88,17,8
5,2010,154,52,91,105,30,26
6,2010,163,51,115,102,39,30
7,2010,115,74,117,67,20,15
8,2010,119,41,70,76,12,21
9,2010,76,28,83,50,15,11
10,2010,156,56,83,119,25,9
11,2010,109,25,75,77,15,6
12,2010,134,58,43,103,15,19
1,2011,136,52,70,83,11,14
2,2011,127,51,96,86,15,18
3,2011,117,49,95,80,13,11
4,2011,176,62,71,103,25,22
5,2011,141,51,56,70,23,11
6,2011,130,84,64,88,22,14
7,2011,152,56,46,88,7,6
8,2011,99,32,62,66,6,20
9,2011,68,26,49,46,19,7
10,2011,119,34,39,61,21,25
11,2011,151,42,47,110,9,12
12,2011,133,45,33,86,10,11
1,2012,144,45,33,105,28,7
2,2012,128,27,35,84,14,45
3,2012,151,25,43,109,18,31
4,2012,118,31,28,93,7,16
5,2012,113,33,18,87,11,25
6,2012,147,28,28,99,11,23
7,2012,128,28,29,84,2,27
8,2012,92,26,19,58,8,16
9,2012,102,22,11,58,2,16
10,2012,115,50,18,78,0,29
11,2012,90,21,10,53,9,22
12,2012,112,36,18,70,11,28
1,2013,127,29,22,78,5,26
2,2013,124,49,10,89,7,21
3,2013,130,31,16,67,13,37
4,2013,135,35,12,97,11,29
5,2013,79,33,16,62,10,28
6,2013,114,46,19,63,2,23
7,2013,107,38,18,71,14,29
8,2013,108,32,13,62,8,33
9,2013,133,36,7,66,10,33
10,2013,94,21,18,55,8,28
11,2013,115,37,14,75,6,21
12,2013,127,35,13,64,10,25
1,2014,115,41,8,66,6,23
2,2014,124,42,9,73,9,28
3,2014,118,46,12,79,2,25
4,2014,152,31,13,99,2,21
5,2014,102,37,16,67,2,15
6,2014,123,42,16,73,4,18
7,2014,117,39,4,78,5,20
8,2014,116,47,8,58,8,14
9,2014,105,25,23,61,8,13
10,2014,122,35,4,67,9,27
11,2014,101,25,8,70,1,22
12,2014,119,39,8,74,6,8
1,2015,127,35,3,64,6,22
2,2015,138,26,6,91,2,11
3,2015,137,45,10,88,2,24
4,2015,129,36,15,90,0,24
5,2015,137,65,13,95,10,28
6,2015,148,98,20,98,3,40
7,2015,150,66,18,92,1,43
8,2015,144,71,13,101,0,24
9,2015,171,87,11,106,2,34
10,2015,166,77,16,103,5,39
11,2015,122,92,8,82,0,35
12,2015,129,95,15,74,6,24
1,2016,135,109,18,81,0,37
2,2016,118,109,10,79,4,35
3,2016,128,103,13,85,6,24
4,2016,108,90,17,68,4,32
5,2016,97,106,10,58,3,18
6,2016,118,91,11,76,0,31
7,2016,125,99,12,84,0,32
8,2016,132,85,12,81,2,50
9,2016,127,104,8,73,4,30
10,2016,127,94,16,86,0,42
11,2016,122,100,6,72,2,24
12,2016,105,79,6,58,2,29
