Dewey,Title,Subject,CheckoutDate,CheckoutCount,DaysCheckedOut,Topic,Contribution,TopicTerms,,,,,,,,
947,works of Voltaire a contemporary version with notes,Voltaire 1694 1778 Translations into English,38360,110,649,36,0.571,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
639,rise and decline of the Olympia oyster,Oyster culture Washington State Puget Sound,38363,7,423,31,0.444,washington state sound puget region resources mines plan high king,,,,,,,,
25,guide to Internet job searching,Internet Handbooks manuals etc,38366,57,497,37,0.333,history industry military food aircraft technology money events man franklin,,,,,,,,
917,Oregon trail the Missouri river to the Pacific ocean,Oregon National Historic Trail,38371,12,959,33,0.125,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
967,Somalia a country study,Somalia,38374,12,710,34,0.333,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
917,Glacier Bay a guide to Glacier Bay National Park and Preserve Alaska,Glacier Bay National Park and Preserve Alaska Guidebooks,38379,13,1198,11,0.5,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
745,Design motifs of ancient Mexico,Mexico Antiquities,38381,72,464,26,0.5,study china chinese civilization ancient glass worlds engines foreign writing,,,,,,,,
629,Chiltons Honda Civic and Del Sol 1996 00 repair manual covers all U S and Canadian models of Honda Civic and Del Sol,Honda Civic automobile Maintenance and repair Handbooks manuals etc,38381,4,1113,25,0.842,manuals handbooks repair manual maintenance automobile models service cc trucks,,,,,,,,
591,Fauna of the Aleutian Islands and Alaska Peninsula,Zoology Alaska,38381,10,1688,11,0.667,story alaska california description economic travel guidebooks social aspects conditions,,,,,,,,
966,Hausa,Hausa African people Juvenile literature,38386,6,644,20,0.333,guide directories arts juvenile colleges rules student administration aid universities,,,,,,,,
685,leather glove industry in the United States,Glove industry United States,38389,1,396,12,0.571,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
970,Ioway Indians,Iowa Indians,38391,4,1534,29,0.5,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
920,African American firsts famous little known and unsung triumphs of blacks in America,African Americans History Miscellanea,38394,66,327,21,0.2,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
973,1001 things everyone should know about African American history,African Americans History Miscellanea,38394,25,668,21,0.429,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
917,Exploring Washingtons past a road guide to history,Washington State Guidebooks,38398,36,847,31,0.286,washington state sound puget region resources mines plan high king,,,,,,,,
973,Our times the United States 1900 1925,United States Civilization,38398,48,552,12,0.8,states united law legislation infantry regiment constitution court supreme tax,,,,,,,,
491,Serbo Croatian phrase book,Serbo Croatian language Conversation and phrase books,38398,10,461,17,0.625,books encyclopedia international western laws society system transport general relations,,,,,,,,
523,NASA atlas of the solar system,Planets Maps,38399,64,1260,27,0.25,history early making wine kentucky white italy study americas physics,,,,,,,,
69,Little known museums in and around Berlin,Berlin Germany Guidebooks,38399,44,574,21,0.4,handbook african americans book automobiles systems electric engineering standards black,,,,,,,,
974,Manitou and providence Indians Europeans and the making of New England 1500 1643,New England History Colonial period ca 1600 1775,38400,18,971,28,0.3,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
439,English Yiddish Yiddish English dictionary romanized,Yiddish language Dictionaries English,38401,56,427,36,1,dictionaries english language dictionary terms mythology russian picture grammar classical,,,,,,,,
812,unsinkable Molly Brown,Musicals Librettos,38401,9,495,28,0.333,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
975,Marys world love war and family ties in nineteenth century Charleston,Pringle Mary Motte Alston 1803 1884,38408,65,411,18,0.273,american century literature painting maps collection photographs atlas sculpture poetry,,,,,,,,
929,History of Czechs in America,Czech Americans History,38414,1,1706,29,0.4,america north indians indian canada carolina oregon discovery railway territory,,,,,,,,
947,Russia and the Commonwealth of Independent States,Former Soviet republics,38426,392,295,33,0.2,county history biographical sketches iowa biography men illustrations indiana pioneers,,,,,,,,
781,MusicHound R B the essential album guide,Sound recordings Reviews,38427,10,1085,31,0.167,washington state sound puget region resources mines plan high king,,,,,,,,
387,Voyage of the Forest Dream and other sea adventures a memoir,Voyages and travels,38432,28,563,35,0.571,design bible gold water railroad coins ages roads car model,,,,,,,,
574,Reining in the rain a case study of the city of Bellinghams use of rain gardens to manage stormwater,Urban runoff Washington State Bellingham,38435,80,536,31,0.286,washington state sound puget region resources mines plan high king,,,,,,,,
940,History of United States naval operations in World War II,World War 1939 1945 Naval operations American,38441,905,299,32,0.833,war world civil photography operations ii artistic naval german aerial,,,,,,,,
929,Ancestral trails the complete guide to British genealogy and family history,Great Britain Genealogy Handbooks manuals etc,38441,30,594,15,0.273,family descendants families genealogy john allied massachusetts william related ancestors,,,,,,,,
346,Landlord tenant rights in Washington,Landlord and tenant Washington State Popular works,38443,232,283,3,0.5,works pictorial popular engineering code handbook motion clocks watches pictures,,,,,,,,
745,embodied image Chinese calligraphy from the John B Elliott Collection,Calligraphy Chinese Exhibitions,38449,116,274,28,0.25,exhibitions education island health colonial museum work east ohio schools,,,,,,,,
636,Spurgeons color atlas of large animal anatomy the essentials,Veterinary anatomy Atlases,38450,36,417,34,0.25,encyclopedias virginia development africa mathematics house special decoration va drawings,,,,,,,,
709,Contrasts of form geometric abstract art 1910 1980 from the collection of the Museum of Modern Art including the Riklis Collection of McCrory Corporation,Art Modern 20th century Catalogs,38452,64,407,10,0.235,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
779,Let truth be the prejudice W Eugene Smith his life and photographs,Smith W Eugene 1918,38454,76,724,10,0.286,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
320,Washington state government and politics,Washington State Politics and government 1951,38455,44,291,10,0.667,art guide catalogs collectors collecting government illustrated politics collections price,,,,,,,,
69,Little known museums in and around Rome,Rome Italy Guidebooks,38462,48,331,6,0.4,river valley story roman italian mexico egypt collection fishes identification,,,,,,,,
